"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",456230.107662362,71628126.9029908,0.247978636177009,456230.107662362,0.146385226415095,71628126.9029908,0.247978636177009,456230.107662362,0.146385226415095,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2","trend",0.00132672506636818,371223.505209264,0.00128518645564077,2364.48092489977,0.000758663380019148,371223.505209264,0.00128518645564077,2364.48092489977,0.000758663380019148,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"3","season",0.318053498056351,116435.539488037,0.00040310318771678,741.627640051189,0.000237957399525525,116435.539488037,0.00040310318771678,741.627640051189,0.000237957399525525,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.80503954408222,5602713.17177757,0.0193967541983895,224108.526871103,0.0719070856933852,5602713.17177757,0.0193967541983895,224108.526871103,0.0719070856933852,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.13069611015527,113867277.643923,0.394211791320064,725269.284356198,0.232708684980009,113867277.643923,0.394211791320064,725269.284356198,0.232708684980009,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"6","events",0.860615323321605,1095398.9685469,0.00379230274523094,1095398.9685469,0.35146787406733,1095398.9685469,0.00379230274523094,1095398.9685469,0.35146787406733,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"7","tv_S",442347.519347221,18581966.7216468,0.0643313034188548,118356.475934056,0.0379756601686656,18581966.7216468,0.0643313034188548,118356.475934056,0.0379756601686656,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,2591412.14666667,16505.80985138,29364.4460946086,12858.6362432285,155244.914442047,0.206047362680601,0.20402475533167,9.40547091235677,7.17059489959896,0.139458442988591,4,FALSE,4.52168432268378,0.107117304298431,2.94161413661474,6.09925289436737,0.532974751429744
"8","ooh_S",579491.307933367,59749904.5077855,0.206855888492157,380572.640176978,0.122109898413207,59749904.5077855,0.206855888492157,380572.640176978,0.122109898413207,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,8239693.86666667,52482.1265392781,188736.961051674,136254.834512396,398604.695004389,0.655151359349006,0.656037104731786,7.59505609411748,7.25147141078884,0.137903046616468,4,FALSE,4.30650272336385,0.136099969777503,2.30129299631522,6.31329219955411,0.943408238418457
"9","print_S",191936.643490276,5351680.98516226,0.0185276735457891,34087.1400328806,0.0109371425246864,5351680.98516226,0.0185276735457891,34087.1400328806,0.0109371425246864,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,601634.977777778,3832.06992215145,5438.74252325254,1606.67260110108,31426.0210731161,0.0478369682055284,0.0587599482857169,8.20079531729224,8.89522913865386,0.112419813409251,4,FALSE,6.51435551154338,0.108472744268843,4.91289886231806,8.11049372065044,0.19111020637465
"10","facebook_S",171333.677556945,2131578.11619446,0.00737958476667339,13576.9306763978,0.00435627118356992,2131578.11619446,0.00737958476667339,13576.9306763978,0.00435627118356992,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,334078.021992166,2127.88549039596,3350.04046265618,1222.15497226022,4653.13067417482,0.0265630827769259,0.0234041267074432,2.18673922782797,6.38047993544586,0.156728022048097,4,FALSE,3.32272793845431,0.222105999764187,0.0534300921973507,6.60074303830052,0.083435788927707
"11","search_S",307821.45883843,5261889.66827589,0.0182168134233099,33515.2208170439,0.010753637485244,5261889.66827589,0.0182168134233099,33515.2208170439,0.010753637485244,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,809960,5158.98089171975,8075.24521850565,2916.26432678591,19214.7205487811,0.0644012269879381,0.0577740649433844,3.72451865049956,6.49648089816274,0.153929491316261,4,FALSE,3.04197720928882,0.239493702152225,0,6.56728919249829,0.0833480467430776
"12","newsletter",265253.203279398,5089779.26899954,0.0176209622691644,32418.9762356659,0.0104018982892633,5089779.26899954,0.0176209622691644,32418.9762356659,0.0104018982892633,TRUE,1,0.932071809774674,NA,NA,0.0583643594310301,NA,NA,0.0583643594310301,0.0133448589133403,0,153399.018935441,0.00224287036,65481090.2533626,1e-04,"1_73_4",1,73,4,796,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,0.162380539877201
"13","(Intercept)",492482.120248906,77319692.8790782,0.267683001340336,492482.120248906,0.158014470559174,77319692.8790782,0.267683001340336,492482.120248906,0.158014470559174,TRUE,1,0.933144387428641,NA,NA,0.0579017430218701,NA,NA,0.0579017430218701,0.0144525877467577,0,157359.166999998,0.002303354144,65481090.2533626,1e-04,"1_89_7",1,89,7,975,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"14","trend",0,0,0,0,0,0,0,0,0,TRUE,1,0.933144387428641,NA,NA,0.0579017430218701,NA,NA,0.0579017430218701,0.0144525877467577,0,157359.166999998,0.002303354144,65481090.2533626,1e-04,"1_89_7",1,89,7,975,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"15","season",0.324232395937204,118697.559282176,0.000410934365325482,756.035409440609,0.0002425763901568,118697.559282176,0.000410934365325482,756.035409440609,0.0002425763901568,TRUE,1,0.933144387428641,NA,NA,0.0579017430218701,NA,NA,0.0579017430218701,0.0144525877467577,0,157359.166999998,0.002303354144,65481090.2533626,1e-04,"1_89_7",1,89,7,975,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"16","holiday",0.794447898329649,5529000.08078104,0.0191415573565335,221160.003231242,0.0709598975934144,5529000.08078104,0.0191415573565335,221160.003231242,0.0709598975934144,TRUE,1,0.933144387428641,NA,NA,0.0579017430218701,NA,NA,0.0579017430218701,0.0144525877467577,0,157359.166999998,0.002303354144,65481090.2533626,1e-04,"1_89_7",1,89,7,975,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"17","competitor_sales_B",0.131156259644868,114268176.872121,0.395599715982503,727822.782624976,0.233524278199714,114268176.872121,0.395599715982503,727822.782624976,0.233524278199714,TRUE,1,0.933144387428641,NA,NA,0.0579017430218701,NA,NA,0.0579017430218701,0.0144525877467577,0,157359.166999998,0.002303354144,65481090.2533626,1e-04,"1_89_7",1,89,7,975,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"18","events",0.862614714229023,1097943.81138011,0.00380111306433812,1097943.81138011,0.352278799423755,1097943.81138011,0.00380111306433812,1097943.81138011,0.352278799423755,TRUE,1,0.933144387428641,NA,NA,0.0579017430218701,NA,NA,0.0579017430218701,0.0144525877467577,0,157359.166999998,0.002303354144,65481090.2533626,1e-04,"1_89_7",1,89,7,975,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
