"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,17,3.51694198183554,0.2817716849328,"[1.06, 5.99]",1.06269958787723,5.98840308376623,1.1270867397312,0.0725240098520343
"2","facebook_S",2,20,5.36698055268719,0.401368408695007,"[1.6, 9.11]",1.596053731005,9.10990163304906,1.74952433263127,0.111241379467743
"3","facebook_S",3,44,0.731813647883714,0.119321718049922,"[0, 2.32]",0,2.32495844189637,0.782444830726463,0.0392913949833262
"4","facebook_S",4,54,3.32272793845431,0.222105999764187,"[0.05, 6.6]",0.0534300921973507,6.60074303830052,1.61695608535179,0.0988002537051187
"5","ooh_S",1,17,4.3144924864299,0.138590955230828,"[3.11, 5.53]",3.10818992422922,5.53092431942543,0.554363820923312,0.0356713337075034
"6","ooh_S",2,20,3.41418842391279,0.180387574399051,"[1.72, 5.1]",1.72330512445031,5.10026446676635,0.786291207475888,0.0499953712855335
"7","ooh_S",3,44,3.58104947586118,0.0782219049877231,"[2.53, 4.63]",2.53240245390316,4.62518613762681,0.512935333210786,0.031501559092376
"8","ooh_S",4,54,4.30650272336385,0.136099969777503,"[2.3, 6.31]",2.30129299631522,6.31329219955411,0.990822735907979,0.0605418654045944
"9","print_S",1,17,5.73179212220929,0.0644334019979459,"[5.17, 6.29]",5.16694622211126,6.29331856697265,0.257733607991783,0.0165842379883329
"10","print_S",2,20,7.26491843864527,0.12616932775713,"[6.09, 8.45]",6.08769182688593,8.44965434843207,0.549959349467791,0.0349684971765831
"11","print_S",3,44,7.77215802984389,0.0710979230538235,"[6.82, 8.73]",6.82372271108353,8.7259082093405,0.466220259631001,0.0286325860355452
"12","print_S",4,54,6.51435551154338,0.108472744268843,"[4.91, 8.11]",4.91289886231806,8.11049372065044,0.789693498269003,0.0482523419683877
"13","search_S",1,17,4.30260177437312,0.252180824865448,"[2.11, 6.52]",2.10813802823648,6.51655816786886,1.00872329946179,0.0649077448338986
"14","search_S",2,20,1.68310442024383,0.328178466282989,"[0, 4.75]",0,4.75392267533544,1.43049676997372,0.076918345608918
"15","search_S",3,44,2.09921766791588,0.20308488484395,"[0, 4.81]",0,4.80522322799954,1.33171664757915,0.0754409749813924
"16","search_S",4,54,3.04197720928882,0.239493702152225,"[0, 6.57]",0,6.56728919249829,1.74354046945881,0.101559294256726
"17","tv_S",1,17,4.26642655199623,0.132949818314067,"[3.11, 5.43]",3.10938587498238,5.43350650123902,0.531799273256269,0.034219385583527
"18","tv_S",2,20,4.30305159952533,0.0799455236127818,"[3.56, 5.05]",3.55658697545373,5.05321324663636,0.348474458416561,0.0221573251314722
"19","tv_S",3,44,4.03797581710339,0.0335767527767704,"[3.59, 4.49]",3.58819853499609,4.48652593286088,0.220177492179359,0.0135220442648839
"20","tv_S",4,54,4.52168432268378,0.107117304298431,"[2.94, 6.1]",2.94161413661474,6.09925289436737,0.779825746336082,0.0476493964689373
